标准编号 	标准名称 										
面料（普兰丝薰衣草） 	ZL201330451427.x 	2812839 	2013.9.22- 2023.9.21 								
凉席（金银花花形 1） 	ZL201230579948.9 	2415547 	2012.11.27- 2022.11.26 								
凉席（金银花花形 2） 	ZL201230580232.0 	2417328 	2012.11.27- 2022.11.26 								
床垫（桔子红了） 	ZL201230579349.7 	2416030 	2012.11.27- 2022.11.26 								
床垫（玫瑰花语） 	ZL201230578973.5 	2417218 	2012.11.27- 2022.11.26 								
床上用品套件（艾米丽） 	ZL201230578816.4 	2439578 	2012.11.27- 2022.11.26 								
床上用品套件（缤纷年华） 	ZL201230578971.6 	2438619 	2012.11.27- 2022.11.26 								
床上用品套件（塞纳河畔） 	ZL201230578486.9 	2438510 	2012.11.27- 2022.11.26 								
盖毯（罗马假日） 	ZL201230578554.1 	2415245 	2012.11.27- 2022.11.26 								
凉席二件套（薰衣草花形） 	ZL201130320366.4 	1877990 	2011.9.14- 2021.9.13 								
被套（非凡） 	ZL201130119218.6 	1722305 	2011.5.13- 2021.5.12 								
被套（疯狂赛车） 	ZL201130119284.3 	1721380 	2011.5.13 -2021.5.12 								
被套（简约地中海） 	ZL201130119239.8 	1721991 	2011.5.13- 2021.5.12 								
被套（咖啡） 	ZL201130119287.7 	1720764 	2011.5.13- 2021.5.12 								
被套（雷诺瓦） 	ZL201130119213.3 	1719873 	2011.5.13 -2021.5.12 								
被套（曼迪尼童话） 	ZL201130119252.3 	1720095 	2011.5.13- 								
序号 	专利类别 	专利名称 	专利申请号 	证书号 	有效期 						
2021.5.12 											
2011.5.13- 2021.5.12 											
2011.5.13 -2021.5.12 											
2011.5.13- 2021.5.12 											
2011.5.13- 2021.5.12 											
2011.5.13- 2021.5.12 											
2011.5.13- 2021.5.12 											
2011.5.13- 2021.5.12 											
2011.5.13- 2021.5.12 											
2011.5.13 -2021.5.12 											
2011.5.13- 2021.5.12 											
2011.5.13- 2021.5.12 											
2011.5.13- 2021.5.12 											
2011.5.13- 2021.5.12 											
2011.5.13- 2021.5.12 											
2011.5.13- 2021.5.12 											
2011.5.13 -2021.5.12 											
2011.5.13- 2021.5.12 											
2011.5.13- 2021.5.12 											
2011.5.13- 2021.5.12 											
2011.5.13- 2021.5.12 											
2011.5.13- 											
序号 	专利类别 	专利名称 	专利申请号 	证书号 	有效期 						
2021.5.12 											
2011.5.13- 2021.5.12 											
2010.8.6- 2020.8.5 											
2010.8.6- 2020.8.5 											
2010.8.6- 2020.8.5 											
2010.8.6 -2020.8.5 											
2010.8.6- 2020.8.5 											
2010.8.6- 2020.8.5 											
2010.8.12- 2020.8.11 											
2010.8.3- 2020.8.2 											
2010.8.3- 2020.8.2 											
2010.8.3- 2020.8.2 											
2010.8.3- 2020.8.2 											
											
3 	发明 	一种超柔家纺面料的加工方法 	ZL201210528630.7 	1700404 							
4 	发明 	量子能芯类产品 	ZL201110166593.5 	1613099 							
5 	发明 	一种珍珠纤维与天丝混充被的制备方法 	ZL201210529982.4 	1578116 							
6 	发明 	板蓝根扎染面料的制备方法 	ZL201110457402.0 	1555410 							
7 	发明 	一种抗菌防臭羽绒被的制备方法 	ZL201310079785.1 	1555615 							
8 	发明 	隔尿垫及其制备方法 	ZL201110199697.6 	1410880 							
9 	发明 	缓释可控熏衣草精细油微胶囊整理剂及其制备方法和应用 	ZL201010618460.2 	1390065 							
10 	发明 	抗菌纤维、其制备方法及含有该抗菌纤维的枕芯和被芯 	ZL201010618461.7 	1206552 							
11 	发明 	可再生天丝的铺网方法及其该方法在家纺产品中的应用 	ZL20110086300.2 	1153982 							
12 	发明 	天丝纤维喷气涡流纺制备毛巾的方法 	ZL200910055128.7 	1151343 							
13 	发明 	一种芦荟护肤负离子可水洗蚕丝被的制备方法 	ZL201110083233.9 	1152317 							
14 	发明 	采用喷气涡流纺纺织家纺产品用纱线的方法以及用此纱线织造家纺产品面料的方法 	ZL201110086844.9 	1089815 							
15 	发明 	决明子复合抗菌整理剂、制备方法以及处理纤维的方法和应用 	ZL201010618462.1 	1090490 							
16 	发明 	一种负离子涤纶纤维的制备方法及其在家纺中的应用 	ZL200910054875.9 	1005028 							
17 	发明 	一种远红外保暖被 	ZL200910054871.0 	1008909 							
18 	发明 	罗布麻混纺纱线 	ZL201010292520.6 	1008773 							
19 	发明 	一种玉米纤维多功能线 	ZL200810200788.5 	950627 							
20 	发明 	莫代尔纤维纱线的制备方法及其在家纺面料中的应用 	ZL200910054869.3 	927227 							
21 	发明 	一种抗菌纤维及其制备方法及其在家纺产品中的应用 	ZL200910054873.X 	859784 							
											
43 	实用新型 	不对称立衬羽绒被 	ZL201120314338.6 	2200765 							
44 	实用新型 	一种抗菌防螨纺藤席 	ZL201120314721.1 	2202501 							
45 	实用新型 	隔尿垫 	ZL201120251754.6 	2147757 							
46 	实用新型 	嵌角双面席 	ZL201120177116.4 	2103460 							
47 	实用新型 	一种台布 	ZL201020613197.3 	1914007 							
48 	实用新型 	一种芳香凉席 	ZL201020522069.8 	1915445 							
49 	实用新型 	生态型凉席 	ZL201020522055.6 	1918884 							
50 	实用新型 	银杏木竹席 	ZL201020522045.2 	1915144 							
51 	实用新型 	磁性罗布麻凉席 	ZL201020522024.0 	1851824 							
52 	实用新型 	柚木竹席 	ZL201020521995.3 	1783426 							
53 	实用新型 	一种凉席 	ZL201020534447.4 	1772820 							
54 	实用新型 	香椿木竹席 	ZL201020534524.6 	1774880 							
55 	实用新型 	一种檀香木竹凉席 	ZL201020534430.9 	1771750 							
56 	实用新型 	一种驱蚊凉席 	ZL201020534521.2 	1851347 							
57 	实用新型 	一种凉席 	ZL201020522081.9 	1768159 							
58 	实用新型 	一种凉席 	ZL201020522008.1 	1773514 							
59 	实用新型 	一种护颈透气枕 	ZL201020222470.X 	1728629 							
60 	实用新型 	一种定位护颈枕 	ZL201020222484.1 	1729258 							
61 	实用新型 	一种可调节高度护颈枕 	ZL201020222494.5 	1734735 							
62 	实用新型 	一种护颈枕 	ZL201020222517.2 	1736136 							
63 	实用新型 	一种磁疗凉席 	ZL201020032731.1 	1579202 							
64 	实用新型 	一种复皮革双面折叠竹凉席 	ZL200920070108.2 	1417212 							
65 	实用新型 	香樟木竹席 	ZL200820055686.4 	1150121 							
66 	实用新型 	一种玉米纤维毛绒面料制造的毛绒玩具 	ZL200720068592.6 	1058915 							
67 	外观设计 	冰丝凉席二件套（艾草幽香） 	ZL201530016025.6 	3319605 							
68 	外观设计 	仿藤凉席二件套（芳草青柠提花） 	ZL201530016138.3 	3319054 							
69 	外观设计 	冰丝凉席二件套（英伦玫瑰芳香） 	ZL201530016049.1 	3319609 							
70 	外观设计 	冰丝凉席二件套（清幽可水洗床单式） 	ZL201530016037.9 	3320522 							
71 	外观设计 	冰丝凉席二件套（花漾清泉） 	ZL201530016069.9 	3320280 							
72 	外观设计 	藤凉席二件套（夏日清风抗菌防螨提花） 	ZL201530016085.8 	3319366 							
73 	外观设计 	冰丝凉席二件套（沁心怡人） 	ZL201530016092.8 	3320082 							
74 	外观设计 	冰丝凉席二件套(普罗旺斯薰衣草) 	ZL201530016099.X 	3320317 							
75 	外观设计 	仿藤凉席二件套（艾茉莉芳香） 	ZL201530016121.0 	3319559 							
76 	外观设计 	冰丝凉席二件套(冰山雪莲) 	ZL201530016128.2 	3320776 							
77 	外观设计 	仿藤凉席二件套（爱丁堡抗菌防螨提花） 	ZL201530016163.4 	3319298 							
78 	外观设计 	冰丝凉席（旋转木马） 	ZL201530016189.9 	3320786 							
79 	外观设计 	冰丝凉席（星宝贝） 	ZL201530016207.3 	3319455 							
80 	外观设计 	竹席二件套（荷泽牡丹） 	ZL201530016206.9 	3319200 							
81 	外观设计 	冰丝凉席二件套（至臻蚕丝蛋白） 	ZL201530016234.0 	3320258 							
82 	外观设计 	藤凉席二件套（湖畔花香抗菌防螨提花） 	ZL201530016255.2 	3320731 							
83 	外观设计 	冰丝凉席(夏日海滩) 	ZL201530016256.7 	3320239 							
84 	外观设计 	冰丝凉席二件套（舒香可水洗	ZL201530022102.9 	3319331 							
											
85 	外观设计 										
86 	外观设计 										
87 	外观设计 										
88 	外观设计 										
89 	外观设计 										
90 	外观设计 										
91 	外观设计 										
92 	外观设计 										
93 	外观设计 										
94 	外观设计 										
95 	外观设计 										
96 	外观设计 										
97 	外观设计 										
98 	外观设计 										
99 	外观设计 										
100 	外观设计 										
101 	外观设计 										
102 	外观设计 										
103 	外观设计 										
104 	外观设计 										
105 	外观设计 										
											
106 	外观设计 	被套（时光旅程） 	ZL201130119253.8 	1719840 							
107 	外观设计 	被套（美人鱼） 	ZL201130119200.6 	1720227 							
108 	外观设计 	被套（幽澜心动） 	ZL201130119238.3 	1719790 							
109 	外观设计 	被套（梦想庄园） 	ZL201130119201.0 	1721132 							
110 	外观设计 	被套（梦昕香氛） 	ZL201130119260.8 	1722147 							
111 	外观设计 	被套（米兰畅想） 	ZL201130119280.5 	1719923 							
112 	外观设计 	被套（摩登） 	ZL201130119223.7 	1720193 							
113 	外观设计 	被套（普罗旺斯之旅） 	ZL201130119245.3 	1720893 							
114 	外观设计 	被套（时尚摩洛哥） 	ZL201130119194.4 	1722002 							
115 	外观设计 	被套（印象） 	ZL201130119230.7 	1722434 							
116 	外观设计 	被套（自由协奏曲） 	ZL201130119226.0 	1720797 							
117 	外观设计 	被套（衫国演义） 	ZL201130119202.5 	1722255 							
118 	外观设计 	被套（醉梦） 	ZL201130119206.3 	1720930 							
119 	外观设计 	被套（多元异彩） 	ZL201130119231.1 	1721856 							
120 	外观设计 	被套（森林） 	ZL201130119234.5 	1721716 							
121 	外观设计 	被套（心灵花园） 	ZL201130119246.8 	1720330 							
122 	外观设计 	被套（伊甸园的早晨） 	ZL201130119233.0 	1722225 							
123 	外观设计 	被套（意境） 	ZL201130119227.5 	1720659 							
124 	外观设计 	被套（缤纷花季） 	ZL201130119257.6 	1721565 							
125 	外观设计 	被套（穿梭） 	ZL201130119248.7 	1721616 							
126 	外观设计 	被套（春之物语） 	ZL201130119240.0 	1720791 							
127 	外观设计 	被套（迪洛萨） 	ZL201130119277.3 	1720755 							
128 	外观设计 	床上用品套件（霓裳奏鸣曲） 	ZL201030264031.0 	1489581 							
129 	外观设计 	床上用品套件（玫瑰梦婉） 	ZL201030264048.6 	1489710 							
130 	外观设计 	床上用品套件（甜心公主） 	ZL201030264066.4 	1490023 							
131 	外观设计 	床上用品套件（甜心） 	ZL201030264098.4 	1490084 							
132 	外观设计 	床上用品套件（堆雪人） 	ZL201030264080.4 	1492597 							
133 	外观设计 	床上用品套件（尚） 	ZL201030264077.2 	1490890 							
134 	外观设计 	靠垫 	ZL201030270190.1 	1457515 							
135 	外观设计 	床垫（宝宝绒） 	ZL201030258488.0 	1456784 							
136 	外观设计 	床垫（澳毛） 	ZL201030258481.9 	1459953 							
137 	外观设计 	床垫（羊毛软） 	ZL201030258535.1 	1461484 							
138 	外观设计 	床垫（蚕丝养生） 	ZL201030258519.2 	1459280 							
											
序号 	专利类别 	专利名称 	专利申请号 	证书号 	有效期 						
1 	外观设计 	被套（恬静） 	ZL 201230049726.6 	2021923 	2012.3.7- 2022.3.6 						
2 	外观设计 	被套（花间心事） 	ZL201230049729.X 	2030584 	2012.3.7- 2022.3.6 						
3 	外观设计 	被套（夏之俏） 	ZL 201230049730.2 	2022604 	2012.3.7- 2022.3.6 						
4 	外观设计 	被套（烟雨霏霏） 	ZL 201230049733.6 	2026110 	2012.3.7- 2022.3.6 						
5 	外观设计 	被套（紫郁悠香） 	ZL201230049736.X 	2030002 	2012.3.7- 2022.3.6 						
6 	外观设计 	床上用品套件（爱在阳光里） 	ZL 201230049920.4 	2029113 	2012.3.7- 2022.3.6 						
序号 	专利类别 	专利名称 	专利申请号 	证书号 	有效期 						
7 	外观设计 	被套（田纳西的春天） 	ZL 201230049936.5 	2025771 	2012.3.7- 2022.3.6 						
8 	外观设计 	被套（天籁芳香） 	ZL 201230049939.9 	2023504 	2012.3.7- 2022.3.6 						
9 	外观设计 	被套（清新雅意） 	ZL 201230049941.6 	2026794 	2012.3.7- 2022.3.6 						
10 	外观设计 	床上用品套件（蕾娜塔）   	ZL 201230049997.1 	2029875 	2012.3.7- 2022.3.6 						
11 	外观设计 	床上用品套件（别具一格）   	ZL 201230050000.4 	2029172 	2012.3.7- 2022.3.6 						
12 	外观设计 	床上用品套件（伦巴尔）   	ZL 201230050001.9 	2026949 	2012.3.7- 2022.3.6 						
13 	外观设计 	床上用品套件（布兰迪尔）   	ZL 201230050005.7 	2030639 	2012.3.7- 2022.3.6 						
14 	外观设计 	床上用品套件（花漾迷情）   	ZL 201230050007.6 	2024066 	2012.3.7- 2022.3.6 						
15 	外观设计 	床上用品套件（恋恋花草集） 	ZL 201230050008.0 	2026412 	2012.3.7- 2022.3.6 						
16 	外观设计 	床上用品套件（花影霓裳）   	ZL 201230050009.5 	2025315 	2012.3.7- 2022.3.6 						
17 	外观设计 	床上用品套件（繁花叶影）   	ZL 201230050010.8 	2029534 	2012.3.7- 2022.3.6 						
18 	外观设计 	床上用品套件（曼彻莱斯）   	ZL 201230050035.8 	2025243 	2012.3.7- 2022.3.6 						
19 	外观设计 	床上用品套件（蒙雅图序曲） 	ZL 201230050037.7 	2030318 	2012.3.7- 2022.3.6 						
20 	外观设计 	床上用品套件（幽兰密境）   	ZL 201230051459.6 	2029440 	2012.3.8- 2022.3.7 						
21 	外观设计 	床上用品套件（圆舞曲之恋） 	ZL 201230051462.8 	2027293 	2012.3.8- 2022.3.7 						
22 	外观设计 	床上用品套件（芝澜芬芳）   	ZL 201230051463.2 	2027043 	2012.3.8- 2022.3.7 						
23 	外观设计 	床上用品套件（挚爱一生）   	ZL 201230051464.7 	2030803 	2012.3.8- 2022.3.7 						
24 	外观设计 	床上用品套件（紫郁悠香）   	ZL 201230051465.1 	2028716 	2012.3.8- 2022.3.7 						
25 	外观设计 	床上用品套件（清韵花语）   	ZL 201230052345.3 	2025675 	2012.3.9- 2022.3.8 						
26 	外观设计 	床上用品套件（田纳西的春天） 	ZL 201230052347.2 	2024205 	2012.3.9- 2022.3.8 						
27 	外观设计 	床上用品套件（薇薇安）   	ZL 201230052348.7 	2029230 	2012.3.9- 2022.3.8 						
序号 	专利类别 	专利名称 	专利申请号 	证书号 	有效期 						
28 	外观设计 	床上用品套件（溯源印象）   	ZL 201230052349.1 	2029630 	2012.3.9- 2022.3.8 						
29 	外观设计 	床上用品套件（相约巴黎）   	ZL 201230052350.4 	2022609 	2012.3.9- 2022.3.8 						
30 	外观设计 	床上用品套件（异彩风情）   	ZL 201230052359.5 	2024094 	2012.3.9- 2022.3.8 						
31 	外观设计 	床上用品套件（馨香花影）   	ZL 201230052360.8 	2028047 	2012.3.9- 2022.3.8 						
32 	外观设计 	床上用品套件（香榭梦境）   	ZL 201230052361.2 	2022393 	2012.3.9- 2022.3.8 						
33 	外观设计 	床上用品套件（朦胧花影）   	ZL 201230052524.7 	2029479 	2012.3.9- 2022.3.8 						
34 	外观设计 	床上用品套件（美丽传说）   	ZL 201230052527.0 	2029516 	2012.3.9- 2022.3.8 						
35 	外观设计 	床上用品套件（迷醉花影）   	ZL 201230052541.0 	2028424 	2012.3.9- 2022.3.8 						
36 	外观设计 	床上用品套件（玫瑰盛宴）   	ZL 201230052548.2 	2022858 	2012.3.9- 2022.3.8 						
37 	外观设计 	床上用品套件（维尼之恋）   	ZL 201230052344.9 	2110959 	2012.3.9- 2022.3.8 						
											
序号 	作品名称 	作品名称 	登记号 	登记日期 	著作权人 	登记机关 					
1 	奔放旋律 	奔放旋律 	09-2009-F-1189 	2009.10.09 	发行人 	上海市版权局 					
2 	都市摩卡 	都市摩卡 	09-2009-F-1190 	2009.10.09 	发行人 	上海市版权局 					
3 	恒久之约 	恒久之约 	09-2009-F-1191 	2009.10.09 	发行人 	上海市版权局 					
4 	花韵斑斓 	花韵斑斓 	09-2009-F1192 	2009.10.09 	发行人 	上海市版权局 					
5 	简时尚 	简时尚 	09-2009-F-1193 	2009.10.09 	发行人 	上海市版权局 					
6 	玛格利特 	玛格利特 	09-2009-F-1194 	2009.10.09 	发行人 	上海市版权局 					
7 	苏菲花园 	苏菲花园 	09-2009-F-1195 	2009.10.09 	发行人 	上海市版权局 					
8 	说爱你 	说爱你 	09-2009-F-1196 	2009.10.09 	发行人 	上海市版权					
序号 	作品名称 	作品名称 	登记号 	登记日期 	著作权人 	登记机关 					
局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
序号 	作品名称 	作品名称 	登记号 	登记日期 	著作权人 	登记机关 					
29 	印象 	印象 	09-2011-F-2134 	2011.12.21 	发行人 	上海市版权局 					
30 	摩登 	摩登 	09-2011-F-2135 	2011.12.21 	发行人 	上海市版权局 					
31 	心灵花园 	心灵花园 	09-2011-F-2114 	2011.12.21 	发行人 	上海市版权局 					
32 	雷诺瓦 	雷诺瓦 	09-2011-F-2128 	2011.12.21 	发行人 	上海市版权局 					
33 	疯狂的赛车 	疯狂的赛车 	09-2011-F-2129 	2011.12.21 	发行人 	上海市版权局 					
34 	曼迪尼童话 	曼迪尼童话 	09-2011-F-2127 	2011.12.21 	发行人 	上海市版权局 					
35 	月清幽 	月清幽 	09-2011-F-2133 	2011.12.21 	发行人 	上海市版权局 					
36 	繁华邂逅 	繁华邂逅 	09-2011-F-2126 	2011.12.21 	发行人 	上海市版权局 					
37 	新梦花都 	新梦花都 	09-2011-F-2124 	2011.12.21 	发行人 	上海市版权局 					
38 	繁花叶影 	繁花叶影 	09-2011-F-2107 	2011.12.21 	发行人 	上海市版权局 					
39 	花漾迷情 	花漾迷情 	09-2011-F-2122 	2011.12.21 	发行人 	上海市版权局 					
40 	迷醉花影 	迷醉花影 	09-2011-F-2108 	2011.12.21 	发行人 	上海市版权局 					
41 	青韵 	青韵 	09-2011-F-2121 	2011.12.21 	发行人 	上海市版权局 					
42 	蒙罗维亚 	蒙罗维亚 	09-2011-F-2111 	2011.12.21 	发行人 	上海市版权局 					
43 	爱恋布拉格 	爱恋布拉格 	09-2011-F-2123 	2011.12.21 	发行人 	上海市版权局 					
44 	甜蜜生活 	甜蜜生活 	09-2011-F-2112 	2011.12.21 	发行人 	上海市版权局 					
45 	梦妮娜 	梦妮娜 	09-2011-F-2115 	2011.12.21 	发行人 	上海市版权局 					
46 	清韵花语 	清韵花语 	09-2011-F-2132 	2011.12.21 	发行人 	上海市版权局 					
47 	幽兰秘境 	幽兰秘境 	09-2011-F-2130 	2011.12.21 	发行人 	上海市版权局 					
48 	恋恋花草集 	恋恋花草集 	09-2011-F-2119 	2011.12.21 	发行人 	上海市版权局 					
49 	田纳西的春天 	田纳西的春天 	09-2011-F-2131 	2011.12.21 	发行人 	上海市版权					
序号 	作品名称 	作品名称 	登记号 	登记日期 	著作权人 	登记机关 					
局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
上海市版权局 											
序号 	作品名称 	作品名称 	登记号 	登记日期 	著作权人 	登记机关 					
70 	雅典娜系列（一）（二） 	雅典娜系列（一）（二） 	09-2004-F-422 	2004.7.29 	发行人 	上海市版权局 					
71 	欧陆风情系列（一）（二） 	欧陆风情系列（一）（二） 	09-2004-F-423 	2004.7.29 	发行人 	上海市版权局 					
72 	豪门华彩 	豪门华彩 	09-2004-F-424 	2004.7.29 	发行人 	上海市版权局 					
73 	醉爱 	醉爱 	10T-2006-F-1850 	2006.8.15 	发行人 	江苏省版权局 					
74 	紫韵天姿 	紫韵天姿 	10T-2006-F-1851 	2006.8.15 	发行人 	江苏省版权局 					
75 	亲密爱人 	亲密爱人 	10T-2006-F-1852 	2006.8.15 	发行人 	江苏省版权局 					
76 	玫瑰新娘 	玫瑰新娘 	10T-2006-F-1853 	2006.8.15 	发行人 	江苏省版权局 					
77 	依恋 	依恋 	10T-2006-F-1854 	2006.8.15 	发行人 	江苏省版权局 					
78 	芬芳迷情 	芬芳迷情 	10T-2006-F-1855 	2006.8.15 	发行人 	江苏省版权局 					
79 	灌篮高手 	灌篮高手 	10T-2006-F-1856 	2006.8.15 	发行人 	江苏省版权局 					
80 	一朵云 	一朵云 	10T-2006-F-1857 	2006.8.15 	发行人 	江苏省版权局 					
81 	木偶总动员 	木偶总动员 	10T-2006-F-1858 	2006.8.15 	发行人 	江苏省版权局 					
82 	经典之约 	经典之约 	10T-2006-F-1859 	2006.8.15 	发行人 	江苏省版权局 					
83 	动感地带 	动感地带 	10T-2006-F-1860 	2006.8.15 	发行人 	江苏省版权局 					
84 	爱情海 	爱情海 	10T-2006-F-1861 	2006.8.15 	发行人 	江苏省版权局 					
85 	情思叶语 	情思叶语 	10T-2006-F-1862 	2006.8.15 	发行人 	江苏省版权局 					
86 	新贵风范 	新贵风范 	10T-2006-F-1863 	2006.8.15 	发行人 	江苏省版权局 					
87 	皇室 	皇室 	10T-2006-F-1935 	2006.8.24 	发行人 	江苏省版权局 					
88 	婉情丝影 	婉情丝影 	10T-2006-F-1972 	2006.8.24 	发行人 	江苏省版权局 					
89 	万千风情 	万千风情 	10T-2006-F-1973 	2006.8.24 	发行人 	江苏省版权局 					
序号 	作品名称 	作品名称 	登记号 	登记日期 	著作权人 	登记机关 					
90 	悠然 	悠然 	10T-2007-F-2401 	2007.8.30 	发行人 	江苏省版权局 					
91 	图门 	图门 	10T-2007-F-2402 	2007.8.30 	发行人 	江苏省版权局 					
92 	皇室风范 	皇室风范 	10T-2007-F-2403 	2007.8.30 	发行人 	江苏省版权局 					
93 	幸福浪潮 	幸福浪潮 	10T-2007-F-2404 	2007.8.30 	发行人 	江苏省版权局 					
94 	花之林 	花之林 	10T-2007-F-2405 	2007.8.30 	发行人 	江苏省版权局 					
95 	雀枝牡丹 	雀枝牡丹 	10T-2007-F-2406 	2007.8.30 	发行人 	江苏省版权局 					
96 	躲猫猫 	躲猫猫 	10T-2007-F-2407 	2007.8.30 	发行人 	江苏省版权局 					
97 	时尚先锋 	时尚先锋 	10T-2007-F-2408 	2007.8.30 	发行人 	江苏省版权局 					
98 	运动一族 	运动一族 	10T-2007-F-2409 	2007.8.30 	发行人 	江苏省版权局 					
99 	一生缘 	一生缘 	10T-2007-F-2410 	2007.8.30 	发行人 	江苏省版权局 					
100 	浓荫孚日 	浓荫孚日 	10T-2007-F-2411 	2007.8.30 	发行人 	江苏省版权局 					
101 	挪威森林 	挪威森林 	10T-2007-F-2412 	2007.8.30 	发行人 	江苏省版权局 					
102 	繁花季节 	繁花季节 	10T-2007-F-2413 	2007.8.30 	发行人 	江苏省版权局 					
103 	桑巴舞系列（一）、（二） 	桑巴舞系列（一）、（二） 	09-2004-F-421 	2004.7.29 	百丽丝 	上海市版权局 					
104 	维尼之恋-1 	维尼之恋-1 	沪作登字 -2012-F-00000324 	2012.3.14 	百丽丝 	上海市版权局 					
105 	维尼之恋-2 	维尼之恋-2 	沪作登字 -2012-F-00000294 	2012.3.14 	百丽丝 	上海市版权局 					
106 	布兰迪尔（被套） 	布兰迪尔（被套） 	沪作登字 -2012-F-00000292 	2012.3.14 	百丽丝 	上海市版权局 					
107 	布兰迪尔（床盖） 	布兰迪尔（床盖） 	沪作登字 -2012-F-00000317 	2012.3.14 	百丽丝 	上海市版权局 					
108 	布兰迪尔（床单） 	布兰迪尔（床单） 	沪作登字 -2012-F-00000318 	2012.3.14 	百丽丝 	上海市版权局 					
109 	布兰迪尔（中枕） 	布兰迪尔（中枕） 	沪作登字 -2012-F-00000319 	2012.3.14 	百丽丝 	上海市版权局 					
110 	布兰迪尔（小中枕） 	布兰迪尔（小中枕） 	沪作登字 	2012.3.14 	百丽丝 	上海市版权					
序号 	作品名称 	作品名称 	登记号 	登记日期 	著作权人 	登记机关 					
-2012-F-00000311 	局 										
沪作登字 -2012-F-00000320 	2012.3.14 	百丽丝 	上海市版权局 								
沪作登字 -2012-F-00000321 	2012.3.14 	百丽丝 	上海市版权局 								
沪作登字 -2012-F-00000295 	2012.3.14 	百丽丝 	上海市版权局 								
沪作登字 -2012-F-00000296 	2012.3.14 	百丽丝 	上海市版权局 								
沪作登字 -2012-F-00000297 	2012.3.14 	百丽丝 	上海市版权局 								
沪作登字 -2012-F-00000325 	2012.3.14 	百丽丝 	上海市版权局 								
沪作登字 -2012-F-00000314 	2012.3.14 	百丽丝 	上海市版权局 								
沪作登字 -2012-F-00000306 	2012.3.14 	百丽丝 	上海市版权局 								
沪作登字 -2012-F-00000305 	2012.3.14 	百丽丝 	上海市版权局 								
沪作登字 -2012-F-00000307 	2012.3.14 	百丽丝 	上海市版权局 								
沪作登字 -2012-F-00000315 	2012.3.14 	百丽丝 	上海市版权局 								
沪作登字 -2012-F-00000326 	2012.3.14 	百丽丝 	上海市版权局 								
沪作登字 -2012-F-00000288 	2012.3.14 	百丽丝 	上海市版权局 								
沪作登字 -2012-F-00000312 	2012.3.14 	百丽丝 	上海市版权局 								
沪作登字 -2012-F-00000313 	2012.3.14 	百丽丝 	上海市版权局 								
沪作登字 -2012-F-00000271 	2012.3.14 	百丽丝 	上海市版权局 								
沪作登字 -2012-F-00000272 	2012.3.14 	百丽丝 	上海市版权局 								
沪作登字 -2012-F-00000273 	2012.3.14 	百丽丝 	上海市版权局 								
沪作登字 -2012-F-00000293 	2012.3.14 	百丽丝 	上海市版权局 								
沪作登字 -2012-F-00000298 	2012.3.14 	百丽丝 	上海市版权局 								
序号 	作品名称 	作品名称 	登记号 	登记日期 	著作权人 	登记机关 					
131 	挚爱一生（被套） 	挚爱一生（被套） 	沪作登字 -2012-F-00000316 	2012.3.14 	百丽丝 	上海市版权局 					
132 	薇薇安-2 	薇薇安-2 	沪作登字 -2012-F-00000302 	2012.3.14 	百丽丝 	上海市版权局 					
133 	薇薇安-1 	薇薇安-1 	沪作登字 -2012-F-00000322 	2012.3.14 	百丽丝 	上海市版权局 					
134 	溯源印象-1 	溯源印象-1 	沪作登字 -2012-F-00000291 	2012.3.14 	百丽丝 	上海市版权局 					
135 	溯源印象-2 	溯源印象-2 	沪作登字 -2012-F-00000301 	2012.3.14 	百丽丝 	上海市版权局 					
136 	朦胧花影（床单） 	朦胧花影（床单） 	沪作登字 -2012-F-00000309 	2012.3.14 	百丽丝 	上海市版权局 					
137 	朦胧花影（床盖） 	朦胧花影（床盖） 	沪作登字 -2012-F-00000308 	2012.3.14 	百丽丝 	上海市版权局 					
138 	朦胧花影（被套） 	朦胧花影（被套） 	沪作登字 -2012-F-00000327 	2012.3.14 	百丽丝 	上海市版权局 					
139 	朦胧花影（中枕） 	朦胧花影（中枕） 	沪作登字 -2012-F-00000310 	2012.3.14 	百丽丝 	上海市版权局 					
140 	朦胧花影（靠垫） 	朦胧花影（靠垫） 	沪作登字 -2012-F-00000299 	2012.3.14 	百丽丝 	上海市版权局 					
141 	朦胧花影（小中枕） 	朦胧花影（小中枕） 	沪作登字 -2012-F-00000300 	2012.3.14 	百丽丝 	上海市版权局 					
142 	异彩风情（床单） 	异彩风情（床单） 	沪作登字 -2012-F-00000303 	2012.3.14 	百丽丝 	上海市版权局 					
143 	异彩风情（被套） 	异彩风情（被套） 	沪作登字 -2012-F-00000323 	2012.3.14 	百丽丝 	上海市版权局 					
